movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot,
24:01.3,Etendre right,1.599645602,0.41,0.105553306,1.099002584,2.558866051,foot right,ankle right
24:01.4,Etendre right,1.599645602,0.41,0.105553306,1.099002584,2.558866051,foot right,ankle right
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
