movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
2023-02-22 16:32:26.652886,Etendre right,4.972575632797255,4.97,4.97,1.2000463590908164,24.726508423889015,foot right,ankle right
2023-02-22 16:32:26.699889,Etendre right,4.972575632797255,4.97,4.97,1.2000463590908164,24.726508423889015,foot right,ankle right
2023-02-22 16:32:26.741892,Etendre right,4.972575632797255,4.97,4.97,1.2000463590908164,24.726508423889015,foot right,ankle right
2023-02-22 16:32:26.800897,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:26.858901,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:26.905905,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:26.951909,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:26.996912,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.048916,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.095921,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.135924,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.190927,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.237929,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.286936,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.335937,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.379947,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.428945,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
2023-02-22 16:32:27.476948,Etendre right,0.0,0.0,0.0,1.2000463590908164,0.0,foot right,ankle right
